Campaign Name,Email,Email Provider,Lead Status,Interest Status,Last contacted from,phone,website,companyName,file,email,category,location,pause_until
"Cloud 9 | Wedding Planners",info@cantrav.com,Not Found,Completed | Reply received,Interested,olivia.bennett@aionmain.co,+16047082500,http://www.cantrav.com/,Cantrav,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@cantrav.com,wedding planners,"273 E 1st Ave, Vancouver, BC V5T 1A7, Canada",
"Cloud 9 | Wedding Planners",megan@meganmaundrellphotography.ca,Google,Completed | Reply received,Interested,emily.carter@aionmain.co,+12508861209,https://www.meganmaundrellphotography.ca/,Megan Maundrell Photography,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,megan@meganmaundrellphotography.ca,wedding planners,"1015 Cook St, Victoria, BC V8V 3Z6, Canada",
"Cloud 9 | Wedding Planners",info@vmddecor.ca,Google,Completed | Reply received,Interested,olivia.bennett@aionmain.co,+17789191970,http://vmddecor.ca/,VMD Decor | Indian Wedding Decor | Engagement Decor | Best wedding services | Mehndi Decor | Event Company in Surrey,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@vmddecor.ca,wedding planners,,
"Cloud 9 | Wedding Planners",hello@thewhitepeony.com,Google,Completed | Reply received,Interested,olivia.bennett@aionmain.co,+12505908044,http://thewhitepeony.com/,The White Peony,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,hello@thewhitepeony.com,wedding planners,"1816 Government St, Victoria, BC V8T 4N5, Canada",
"Cloud 9 | Wedding Planners",info@goldenhourevents.ca,Other,Completed | Reply received,Interested,chloe.parker@getonmain.xyz,+12509379466,https://goldenhourevents.ca/home/,Golden Hour Events,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@goldenhourevents.ca,wedding planners,,
"Cloud 9 | Wedding Planners",info@deborahbevents.com,Google,Completed | Reply received,Interested,olivia.bennett@aionmain.co,+12508824527,http://www.deborahbevents.com/,Deborah B Event Management,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@deborahbevents.com,wedding planners,"785 Tyee Rd #406, Victoria, BC V9A 0G2, Canada",
"Cloud 9 | Wedding Planners",deannaveerman@gmail.com,Google,Completed | Reply received,Interested,david.roberts@getonmain.xyz,+12509377070,http://deveephotography.net/,Devee Photography,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,deannaveerman@gmail.com,wedding planners,,2025-08-30T00:00:00.000Z
"Cloud 9 | Wedding Planners",studio@om-designstudio.com,Google,Completed | Reply received,Interested,kevin.reynolds@aionmain.co,,http://www.ouma.co/,OUMA,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,studio@om-designstudio.com,wedding planners,"25 E 6th Ave Suite 201, Vancouver, BC V5T 1J3, Canada",
"Cloud 9 | Wedding Planners",info@elopebc.ca,Google,Completed | Reply received,Interested,matthew.king@getonmain.xyz,+12503099362,https://www.elopebc.ca/,Elope BC,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,info@elopebc.ca,wedding planners,,
"Cloud 9 | Wedding Planners",castingmomentsphotography@gmail.com,Google,Completed | Reply received,Interested,matthew.king@getonmain.xyz,+12369530088,http://castingmoments.ca/,Casting Moments Photography,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,castingmomentsphotography@gmail.com,wedding planners,"159 Acacia Ave, Nanaimo, BC V9R 3L6, Canada",
"Cloud 9 | Wedding Planners",designerweddingsvictoria@gmail.com,Google,Completed | Reply received,Interested,james.mitchell@aionmain.co,+12505893248,http://www.destinationweddingsvictoria.com/,Destination Weddings Victoria,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,designerweddingsvictoria@gmail.com,wedding planners,"1469 Pebble Pl, Victoria, BC V9B 0T4, Canada",
"Cloud 9 | Wedding Planners",wholesale@40knotswinery.com,Google,Completed | Reply received,Interested,anna.garcia@getonmainstreet.xyz,+18559418810,http://www.40knotswinery.com/,40 Knots Winery,dataset_google-maps-with-contact-details_2025-06-06_11-16-22-700,wholesale@40knotswinery.com,wedding planners,"2400 Anderton Rd, Comox, BC V9M 4E5, Canada",
